instance,generator_assignments,continuous_parameters,cost,penalty,job_ind,total_jobs,avg_inner,optimized_bitstrings,history,error
0,,,,,,,,,,Timeout after 1800s
1,,,,,,,,,,Timeout after 1800s
2,00000100001,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.9910251163046662, 0.0, 0.0, 0.0, 0.0, 3.115868052039607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1526912702044901, 0.0, 0.0, 0.0, 0.0, 0.08762794744801698, 0.9912613011721025, 1.0054697573047384, 1.000558609112547, 1.005489168912406, 1.0057030062397627, 0.9901165020905968, 1.0019452006679388, 0.9896220161123112, 1.0055684799303906, 1.0056323302380552, 1.0057211202339462, 0.0, 0.03203323040043146, 0.02073391441982841, 0.03230277582823169, 0.03277312197847105, -0.003796742319544677, 0.02307936795457923, -0.008123323861989608, 0.03252518271121511, 0.032671030922574826, 0.03311823134147943]",11.127759800118051,0.0,,,,,"[{""time"": 0.1467575451824814, ""job_ind"": null, ""result"": {""generator_statuses"": ""11111111111"", ""params"": [0.42176661538261884, 0.44312001269903933, 0.10212147025051384, 0.16157661438179663, 0.2160720592038508, 1.5944266614813618, 0.1983223355268123, 0.1241083096779283, 0.22476216983159186, 0.1617360803047831, 1.5488531934396557, 0.058118687728009426, 0.026391668274491013, 0.00035373082133019257, 0.02442467354368491, 0.0038089989425292466, 0.14421029157839677, 0.015217691062205847, 0.00887367450289557, 0.025425981485082298, 0.00031853489432098227, 0.18930693275576801, 0.36828821715366683, 0.41490294835407987, 0.39863719655195473, 0.4148008134160114, 0.4148540940584307, 0.36489587315807426, 0.40264130521592256, 0.36338792751283694, 0.4150758879944968, 0.41494210106644847, 0.414918099943504, 0.0, 0.2035708963004553, 0.13961887445571178, 0.2026591290793646, 0.204665223642439, -0.02765704417951129, 0.15215062640222524, -0.05963375232719532, 0.20433287555259963, 0.2039076310462779, 0.20248384360374655], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 160.29750545998104, ""job_ind"": null, ""result"": {""generator_statuses"": ""11111011001"", ""params"": [0.5830382607808671, 0.8192585805589067, 0.2107296712245905, 0.28976872483769583, 0.4615216016400304, 0.0, 0.41057580531900106, 0.2784835638212311, 0.0, 0.0, 2.0511164223846623, 0.02352750412470476, 0.014024974000586029, 0.00034591885135056244, 0.03102219650119201, 0.006486261577007239, 0.0, 0.020880627852054294, 0.013346408872700733, 0.0, 0.0, 0.12373201501762449, 0.99144185791375, 1.0049014736827553, 1.0007373523373007, 1.0048695686753117, 1.0046713825892266, 0.990297273862983, 1.0017797464768117, 0.9898028816256633, 1.0049120212036637, 1.0048379888074248, 1.004882706048043, 0.0, 0.031129235618322027, 0.020726442294034506, 0.0306782137118863, 0.030297683725001984, -0.003795358510898968, 0.022543159007021422, -0.008120359809762737, 0.03077905723881254, 0.030630095120839425, 0.030693113051395965], ""fun"": 13.365152033839314, ""penalty"": 0, ""total"": 13.365152033839314, ""extra"": {}}}, {""time"": 193.0834882990457, ""job_ind"": null, ""result"": {""generator_statuses"": ""00000100001"", ""params"": [0.0, 0.0, 0.0, 0.0, 0.0, 1.9910251163108854, 0.0, 0.0, 0.0, 0.0, 3.115868052033709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15269127035783697, 0.0, 0.0, 0.0, 0.0, 0.08762794729555443, 0.9912613011720978, 1.0054697573046507, 1.0005586091125402, 1.0054891689123204, 1.005703006239755, 0.9901165020905921, 1.0019452006679317, 0.9896220161123067, 1.005568479930313, 1.0056323302379784, 1.005721120233784, 0.0, 0.0320332304004617, 0.02073391441982884, 0.03230277582826218, 0.03277312197847102, -0.0037967423195447345, 0.023079367954579693, -0.008123323861989705, 0.03252518271123902, 0.03267103092259924, 0.03311823134152424], ""fun"": 11.127759800128185, ""penalty"": 0, ""total"": 11.127759800128185, ""extra"": {}}}, {""time"": 194.8429291411303, ""job_ind"": null, ""result"": {""generator_statuses"": ""00000100001"", ""params"": [0.0, 0.0, 0.0, 0.0, 0.0, 1.9910251163095363, 0.0, 0.0, 0.0, 0.0, 3.1158680520346715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15269127400172147, 0.0, 0.0, 0.0, 0.0, 0.0876279436507983, 0.9912613011730613, 1.0054697573037235, 1.0005586091134928, 1.0054891689114462, 1.0057030062407009, 0.9901165020915569, 1.0019452006688827, 0.989622016113272, 1.0055684799296254, 1.0056323302373071, 1.005721120231096, 0.0, 0.0320332304011991, 0.020733914419789175, 0.03230277582900262, 0.03277312197840909, -0.0037967423195373446, 0.023079367954535652, -0.008123323861973876, 0.03252518271181431, 0.032671030923185476, 0.03311823134267459], ""fun"": 11.12775980012286, ""penalty"": 0, ""total"": 11.12775980012286, ""extra"": {}}}, {""time"": 196.97523908200674, ""job_ind"": null, ""result"": {""generator_statuses"": ""00000100001"", ""params"": [0.0, 0.0, 0.0, 0.0, 0.0, 1.9910251163046662, 0.0, 0.0, 0.0, 0.0, 3.115868052039607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1526912702044901, 0.0, 0.0, 0.0, 0.0, 0.08762794744801698, 0.9912613011721025, 1.0054697573047384, 1.000558609112547, 1.005489168912406, 1.0057030062397627, 0.9901165020905968, 1.0019452006679388, 0.9896220161123112, 1.0055684799303906, 1.0056323302380552, 1.0057211202339462, 0.0, 0.03203323040043146, 0.02073391441982841, 0.03230277582823169, 0.03277312197847105, -0.003796742319544677, 0.02307936795457923, -0.008123323861989608, 0.03252518271121511, 0.032671030922574826, 0.03311823134147943], ""fun"": 11.127759800118051, ""penalty"": 0, ""total"": 11.127759800118051, ""extra"": {}}}]",Timeout after 1800s
3,,,,,,,,,,Timeout after 1800s
4,,,,,,,,,,Timeout after 1800s
5,,,,,,,,,,Timeout after 1800s
6,,,,,,,,,,Timeout after 1800s
7,,,,,,,,,,Timeout after 1800s
8,,,,,,,,,,Timeout after 1800s
9,,,,,,,,,,Timeout after 1800s
