instance,generators,cont_params,cost,penalty,job_ind,total_jobs,optimized_bitstrings,avg_inner,max_inner,error,history
0,,,,,,,,,,Timeout after 1800s,
1,,,,,,,,,,Timeout after 1800s,
2,,,,,,,,,,Timeout after 1800s,
3,,,,,,,,,,Timeout after 1800s,
4,,,,,,,,,,Timeout after 1800s,
5,,,,,,,,,,Timeout after 1800s,
6,,,,,,,,,,Timeout after 1800s,
7,,,,,,,,,,Timeout after 1800s,
8,,,,,,,,,,Timeout after 1800s,
9,1111111111111,"[0.3654559869424757, 0.7360748389270637, 0.5359383479007472, 0.18568749037698903, 0.40172603759931713, 1.2895574625696098, 0.1286565300770736, 0.4944544027491021, 0.9182253784564757, 2.6010542878923446, 0.8645940914719685, 0.7588200101362179, 0.202489133639093, 0.0033945658743916867, 0.13156708217337248, 0.05901048531072033, 0.003879389671409652, 0.022533430139474602, 0.06248545578413933, 0.0032496412634201452, 0.035641145162029646, 0.04104596703783355, 0.06167629182802985, 0.0855316043984825, 0.018151907113767983, 0.0018082320951245585, 2.395316437353631, 2.396022204073748, 2.3959096173162857, 2.3935956886975513, 2.3958903781873278, 2.3972064099832986, 2.3936012882361553, 2.3956837991180593, 2.3957198818689274, 2.4011735350743337, 2.3954192767489104, 2.394392375234143, 2.393896427216745, 0.0, 0.0005118347178558465, 0.0004371715030591868, -0.0017959236062839513, 0.0003770479745235445, 0.0020964398242958224, -0.0017893962725031363, 0.00016160052656117744, 0.00024715158570575774, 0.0078087174202736715, -0.00014577407565384166, -0.0011628286918657514, -0.0014502900972263911]",287.5696370217259,0.0,,,,,,Timeout after 1800s,"[{""time"": 0.15435066889040172, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111111111"", ""params"": [0.3180245766207969, 1.0342699312523997, 0.770300886406934, 0.1303485274218207, 0.2855431739313641, 0.7563718499298702, 0.08887083299278956, 0.6988806780321097, 1.2392603083570555, 3.029080866971434, 0.528948351684624, 0.46501574192856365, 0.13412434855829697, 0.0017396347326598118, 0.10316554888868114, 0.03937355770596645, 0.0019933445384132994, 0.012860051386377552, 0.042154016263613335, 0.001718373750141979, 0.021687586759097224, 0.025576204754614397, 0.19491464260669752, 0.06154590526039953, 0.010134488749452216, 0.001084963845000856, 4.080754848177221, 4.0812722898984255, 4.0811473353670165, 4.079581270808984, 4.081188669873463, 4.082277600743241, 4.079585364028059, 4.081018633753083, 4.081046624356215, 4.085556777430321, 4.080814027167017, 4.080111972695535, 4.079794011348163, 0.0, 0.0002330848884043426, 0.00017798629668247092, -0.0007292026025410889, 0.00018470988592010916, 0.000889158115763551, -0.0007263784157316835, 7.799821878406303e-05, 0.00011685657773759299, 0.00322386918250045, -6.416748559678644e-05, -0.0004800065415786449, -0.0005833414443875108], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 73.61023246287368, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111111111"", ""params"": [0.3654559869424757, 0.7360748389270637, 0.5359383479007472, 0.18568749037698903, 0.40172603759931713, 1.2895574625696098, 0.1286565300770736, 0.4944544027491021, 0.9182253784564757, 2.6010542878923446, 0.8645940914719685, 0.7588200101362179, 0.202489133639093, 0.0033945658743916867, 0.13156708217337248, 0.05901048531072033, 0.003879389671409652, 0.022533430139474602, 0.06248545578413933, 0.0032496412634201452, 0.035641145162029646, 0.04104596703783355, 0.06167629182802985, 0.0855316043984825, 0.018151907113767983, 0.0018082320951245585, 2.395316437353631, 2.396022204073748, 2.3959096173162857, 2.3935956886975513, 2.3958903781873278, 2.3972064099832986, 2.3936012882361553, 2.3956837991180593, 2.3957198818689274, 2.4011735350743337, 2.3954192767489104, 2.394392375234143, 2.393896427216745, 0.0, 0.0005118347178558465, 0.0004371715030591868, -0.0017959236062839513, 0.0003770479745235445, 0.0020964398242958224, -0.0017893962725031363, 0.00016160052656117744, 0.00024715158570575774, 0.0078087174202736715, -0.00014577407565384166, -0.0011628286918657514, -0.0014502900972263911], ""fun"": 287.5696370217259, ""penalty"": 0, ""total"": 287.5696370217259, ""extra"": {}}}]"
10,,,,,,,,,,Timeout after 1800s,
11,,,,,,,,,,Timeout after 1800s,
12,,,,,,,,,,Timeout after 1800s,
13,,,,,,,,,,Timeout after 1800s,
14,,,,,,,,,,Timeout after 1800s,
15,,,,,,,,,,Timeout after 1800s,
16,,,,,,,,,,Timeout after 1800s,
17,,,,,,,,,,Timeout after 1800s,
18,,,,,,,,,,Timeout after 1800s,
19,,,,,,,,,,Timeout after 1800s,
20,,,,,,,,,,Timeout after 1800s,
21,,,,,,,,,,Timeout after 1800s,
22,,,,,,,,,,Timeout after 1800s,
23,,,,,,,,,,Timeout after 1800s,
24,,,,,,,,,,Timeout after 1800s,
25,,,,,,,,,,Timeout after 1800s,
26,,,,,,,,,,Timeout after 1800s,
27,,,,,,,,,,Timeout after 1800s,
28,,,,,,,,,,Timeout after 1800s,
29,,,,,,,,,,Timeout after 1800s,
30,,,,,,,,,,Timeout after 1800s,
31,,,,,,,,,,Timeout after 1800s,
32,,,,,,,,,,Timeout after 1800s,
