instance,generators,cont_params,cost,violation,expectation_jobs,total_expectation_jobs,total_fidelity_jobs,classical_opt_time,optimized_bitstrings,max_inner,ar_uniform,ar_opt,error,history
0,,,,,,,,,,,,,Timeout after 1800.0s,
1,,,,,,,,,,,,,Timeout after 1800.0s,
2,,,,,,,,,,,,,Timeout after 1800.0s,
3,01010,"[0.0, 0.9103965103001194, 0.0, 1.417860242196861, 0.0, 0.0, -7.037381398944727e-11, 0.0, 0.17584542568014783, 0.0, 1.000009194971625, 0.9999975476565319, 0.9968922000559814, 1.0004280371978287, 1.0000014178768541, 0.0, 0.00010319589001053468, -0.006724909274909996, 0.0011515331708601972, -0.00023371886995919529]",4.704552338497222,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 147.32010885793716, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00111"", ""params"": [0.0, 0.0, 0.27585717767086915, 1.2638467108399085, 0.7883110015987691, 0.0, 0.0, 0.017492333417338746, 0.14225660665193465, 0.015442321577743272, 1.0006754956608275, 1.0006189155073935, 0.997850176739941, 1.0007044811626515, 1.000956369317295, 0.0, -0.0001239965289304832, -0.0058374898427950555, -2.3825724661183124e-05, 0.0006412816782984366], ""fun"": 5.5926575907770015, ""violation"": 0, ""total"": 5.5926575907770015, ""extra"": {}}}, {""time"": 535.3337088404223, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00011"", ""params"": [0.0, 0.0, 0.0, 1.5397036841782734, 0.7883110016261247, 0.0, 0.0, 0.0, 0.16458469587913735, 0.010606034313407139, 1.000698097232743, 1.0006415183585373, 0.9978728434649347, 1.0007270820804255, 1.0009789645336227, 0.0, -0.00012399092758672082, -0.005837225389523553, -2.3824648412189394e-05, 0.0006412527191359778], ""fun"": 5.041214099523715, ""violation"": 0, ""total"": 5.041214099523715, ""extra"": {}}}, {""time"": 535.474740200676, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00011"", ""params"": [0.0, 0.0, 0.0, 1.5397036841669933, 0.7883110016376417, 0.0, 0.0, 0.0, 0.16368872728121342, 0.011502002912120135, 1.000698097207267, 1.0006415183330604, 0.9978728434393859, 1.0007270820549505, 1.0009789645081542, 0.0, -0.00012399092759310374, -0.005837225389821823, -2.3824648413609627e-05, 0.0006412527191684407], ""fun"": 5.04121409951487, ""violation"": 0, ""total"": 5.04121409951487, ""extra"": {}}}, {""time"": 1196.6831142511219, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""00011"", ""params"": [0.0, 0.0, 6.452903557491211e-11, 1.5397036841079603, 0.7883110016276986, 0.0, 0.0, -7.215707170269755e-13, 0.1646415042577261, 0.01054922592471742, 1.0006980976904982, 1.0006415188163187, 0.9978728439240094, 1.0007270825381676, 1.0009789649912493, 0.0, -0.00012399092747334832, -0.005837225384167757, -2.3824648390492167e-05, 0.0006412527185493687], ""fun"": 5.0412140993837165, ""violation"": 0, ""total"": 5.0412140993837165, ""extra"": {}}}, {""time"": 1401.1130101364106, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01010"", ""params"": [0.0, 0.968872257812119, 0.0, 1.35971867043244, 0.0, 0.0, 3.6003233036390283e-07, 0.0, 0.1767360512434692, 0.0, 0.9725136392247662, 0.9725045991647874, 0.969287729644379, 0.9729699621542691, 0.9724867428938648, 0.0, 0.0001245474753811945, -0.007171565279268136, 0.0012973244181369139, -0.0003066193828874342], ""fun"": 4.739131187901029, ""violation"": 0, ""total"": 4.739131187901029, ""extra"": {}}}, {""time"": 1436.093261871487, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01010"", ""params"": [0.0, 0.9103965103001194, 0.0, 1.417860242196861, 0.0, 0.0, -7.037381398944727e-11, 0.0, 0.17584542568014783, 0.0, 1.000009194971625, 0.9999975476565319, 0.9968922000559814, 1.0004280371978287, 1.0000014178768541, 0.0, 0.00010319589001053468, -0.006724909274909996, 0.0011515331708601972, -0.00023371886995919529], ""fun"": 4.704552338497222, ""violation"": 0, ""total"": 4.704552338497222, ""extra"": {}}}]"
4,,,,,,,,,,,,,Timeout after 1800.0s,
5,,,,,,,,,,,,,Timeout after 1800.0s,
6,,,,,,,,,,,,,Timeout after 1800.0s,
7,,,,,,,,,,,,,Timeout after 1800.0s,
8,,,,,,,,,,,,,Timeout after 1800.0s,
9,,,,,,,,,,,,,Timeout after 1800.0s,
