instance,generators,cont_params,cost,violation,expectation_jobs,total_expectation_jobs,total_fidelity_jobs,classical_opt_time,optimized_bitstrings,max_inner,ar_uniform,ar_opt,error,history
0,,,,,,,,,,,,,Timeout after 1800.0s,
1,,,,,,,,,,,,,Timeout after 1800.0s,
2,,,,,,,,,,,,,Timeout after 1800.0s,
3,01010,"[0.0, 0.9688723057163972, 0.0, 1.3594349663661516, 0.0, 0.0, 2.3834126496365494e-07, 0.0, 0.17599571593209154, 0.0, 1.0007251278433347, 1.0007163580633143, 0.9975919118389839, 1.001168636206077, 1.0006989194208344, 0.0, 0.00011762778402998932, -0.006771694466326993, 0.001225244376326004, -0.00028957839446649985]",4.699268600818254,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 359.99075476266444, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""10010"", ""params"": [1.3684122686374924, 0.0, 0.0, 0.9609816677123664, 0.0, 0.000594054640227406, 0.0, 0.0, 0.17781065816314268, 0.0, 1.0017064303777337, 1.0006496220939614, 0.9973797551220493, 1.0006678448678414, 1.0004874325272217, 0.0, -0.0024169137866904876, -0.009493040629323187, -0.0023587503191359075, -0.0030081751754060036], ""fun"": 5.763913670094925, ""violation"": 0, ""total"": 5.763913670094925, ""extra"": {}}}, {""time"": 581.4407724309713, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01010"", ""params"": [0.0, 0.9688723054780138, 0.0, 1.359434966603964, 0.0, 0.0, 2.610196505628606e-07, 0.0, 0.17599569325153733, 0.0, 1.0007251278445584, 1.000716358070187, 0.9975919118184076, 1.0011686362364574, 1.000698919400323, 0.0, 0.00011762778284782822, -0.006771694459169425, 0.0012252443662716902, -0.0002895783870423918], ""fun"": 4.699268600833634, ""violation"": 0, ""total"": 4.699268600833634, ""extra"": {}}}, {""time"": 1643.2153778122738, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01010"", ""params"": [0.0, 0.968872305473303, 0.0, 1.3594349666085752, 0.0, 0.0, 2.5673736926389067e-07, 0.0, 0.17599569753385375, 0.0, 1.000725127844937, 1.0007163580694967, 0.9975919118229201, 1.0011686362313093, 1.0006989194048215, 0.0, 0.000117627783058531, -0.006771694460464705, 0.00122524436810461, -0.00028957838839619734], ""fun"": 4.699268600833578, ""violation"": 0, ""total"": 4.699268600833578, ""extra"": {}}}, {""time"": 1724.8388451011851, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01010"", ""params"": [0.0, 0.9688723054926323, 0.0, 1.3594349665890992, 0.0, 0.0, 2.5792407999837767e-07, 0.0, 0.1759956963469567, 0.0, 1.0007251278453395, 1.0007163580701963, 0.9975919118221724, 1.0011686362332508, 1.0006989194040763, 0.0, 0.00011762778300457858, -0.006771694460116481, 0.0012252443676187233, -0.0002895783880381731], ""fun"": 4.69926860083215, ""violation"": 0, ""total"": 4.69926860083215, ""extra"": {}}}, {""time"": 1761.3219924373552, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01010"", ""params"": [0.0, 0.9688723056736146, 0.0, 1.3594349664087177, 0.0, 0.0, 2.4509683757674564e-07, 0.0, 0.1759957091759042, 0.0, 1.0007251278433256, 1.0007163580649894, 0.9975919118324708, 1.0011686362147656, 1.0006989194143419, 0.0, 0.00011762778368498838, -0.006771694464227231, 0.0012252443733683082, -0.00028957839228232644], ""fun"": 4.699268600820978, ""violation"": 0, ""total"": 4.699268600820978, ""extra"": {}}}, {""time"": 1762.155439012684, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01010"", ""params"": [0.0, 0.9688723057163972, 0.0, 1.3594349663661516, 0.0, 0.0, 2.3834126496365494e-07, 0.0, 0.17599571593209154, 0.0, 1.0007251278433347, 1.0007163580633143, 0.9975919118389839, 1.001168636206077, 1.0006989194208344, 0.0, 0.00011762778402998932, -0.006771694466326993, 0.001225244376326004, -0.00028957839446649985], ""fun"": 4.699268600818254, ""violation"": 0, ""total"": 4.699268600818254, ""extra"": {}}}]"
4,,,,,,,,,,,,,Timeout after 1800.0s,
5,,,,,,,,,,,,,Timeout after 1800.0s,
6,01110,"[0.0, 1.64771908548527, 0.7231001825499659, 0.7307532508574665, 0.0, 0.0, 0.02229601380444026, 0.0009749045546215946, 0.11067269601437463, 0.0, 1.0018995019659431, 1.0038786495441452, 0.9973464488012891, 0.9970268992413734, 1.0019316248680008, 0.0, 0.005320349814183724, -0.012634971149112698, -0.015616686442879195, 0.00023594140791263781]",6.172981523123261,0.0,,,,,,,,,Timeout after 1800.0s,"[{""time"": 469.03903384692967, ""expectation_jobs"": null, ""fidelity_jobs"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""01110"", ""params"": [0.0, 1.64771908548527, 0.7231001825499659, 0.7307532508574665, 0.0, 0.0, 0.02229601380444026, 0.0009749045546215946, 0.11067269601437463, 0.0, 1.0018995019659431, 1.0038786495441452, 0.9973464488012891, 0.9970268992413734, 1.0019316248680008, 0.0, 0.005320349814183724, -0.012634971149112698, -0.015616686442879195, 0.00023594140791263781], ""fun"": 6.172981523123261, ""violation"": 0, ""total"": 6.172981523123261, ""extra"": {}}}]"
7,,,,,,,,,,,,,Timeout after 1800.0s,
8,,,,,,,,,,,,,Timeout after 1800.0s,
9,,,,,,,,,,,,,Timeout after 1800.0s,
